name,site,phone,email,director,region,industry,profit_mln
"ГЛАЗОВСКИЙ ЗАВОД МЕТАЛЛИСТ, АО",www.оао-металлист.рф,"+7 (34141) 37715
+7 (34141) 37800
+7 (34141) 37919
+7 (34141) 38050
+7 (34141) 38072
+7 (34141) 38131
+7 (34141) 38141
+7 (34141) 38200
+7 (34141) 38344
+7 (34141) 51066
+7 (34141) 57880
+7 (34141) 57895
+7 (34141) 66052
+7 (34141) 73810",urist1@glazovmebel.ru,"ГЛАЗОВСКИЕ ЗАВОДЫ, ООО",Удмуртская Республика,Производство промышленного холодиль,215
"НТЭС, ООО НПО",nponts.ru,"+7 (85594) 43420
+7 (855) 1443501
+7 (855) 1493501
+7 (855) 9493501
+7 (85594) 63700
+7 (85594) 63701
+7 (85594) 63719
+7 (85594) 63727
+7 (85594) 99129",,Ушков Петр Владимирович,Республика Татарстан,"Производство прочих приборов, датчи",210
"АРМАТУРНЫЙ ЗАВОД, ООО",arm-z.ru,+7 (3472) 929888,armz@arm-z.ru,Ибрагимов Ренат Фаукатович,Башкортостан (Республика),Производство арматуры трубопроводно,168
"ЭКРОСХИМ, ООО",labfurniture.ru,"+7 (812) 4487609
+7 (812) 4490403
+7 (812) 4887611
+7 (3422) 940553
+7 (495) 3630061
+7 (812) 3229898
+7 (812) 3329600
+7 (812) 4487016
+7 (812) 4487601
+7 (812) 4487612
+7 (812) 4487614
+7 (812) 4490434
+7 (812) 4493122
+7 (812) 4493123","andrianova@ecohim.ru, brui@ecohim.ru, efremova@ecohim.ru, lubnin@ecohim.ru",Арапов Виталий Олегович,Санкт-Петербург,"Производство навигационных, метеоро",148
"ЛЮМЭКС-МАРКЕТИНГ, ООО",www.lumex.ru,"+7 (499) 9763193
+7 (812) 3360336
+7 (812) 3550336","bochkarevavi@lumex.ru, polischukev@lumex.ru, tselishevann@lumex.ru",Климова Ирина Олеговна,Санкт-Петербург,Производство приборов для контроля ,140
"ЦМЗ, ООО",tsmz.ru,"+7 (86391) 21997
+7 (86391) 50920
+7 (495) 2312848
+7 (8632) 855387
+7 (8632) 855392
+7 (8632) 855402",tsmz@tsmz.ru,Балабанов Михаил Вячеславович,Ростовская область,Производство арматуры трубопроводно,138
"МЭК, ООО",www.mec26.ru,"+7 (918) 7431303
+7 (865) 2693334
+7 (8652) 315606
+7 (8652) 315646
+7 (8652) 363095
+7 (8652) 566003
+7 (8652) 947477
+7 (86553) 62096","kling_1976@mail.ru, mec_26@mail.ru",Шульга Юрий Анатольевич,Ставропольский край,Производство электрической распреде,134
"ТЕМПЕР, ООО",www.temper.ru,"+7 (812) 4380545
+7 (932) 3128888
+7 (3522) 222999
+7 (3522) 228888
+7 (912) 0641514
+7 (932) 3176262","dso@temper.ru, tender@temper.ru",Доронин Сергей Олегович,Курганская область,Производство арматуры трубопроводно,110
"КМПУ №7, ООО",https://kalorifer.net/about,+7 (494) 2419107,,Брюханов Иван Вадимович,Москва,Производство вентиляторов,109
"ЭНЕРГОМАШ, ОАО",www.energomach.com,"+7 (921) 2015922
+7 (964) 6944372
+7 (495) 7377868
+7 (81665) 49235
+7 (81665) 49249
+7 (81665) 49252
+7 (81665) 49300
+7 (81665) 49320
+7 (81665) 49340","cherkesov@energomach.com, info@energomach.com, ivanova-sa@energomach.com",Васильев Вячеслав Николаевич,Новгородская область,Производство прочих насосов и компр,86
"МЕТАБ, ЗАО МЗ",metab.ru,"+7 (950) 7345221
+7 (351) 2357395
+7 (3517) 919463",gmp60@mail.ru,Пястолов Геннадий Михайлович,Челябинская область,Производство прочих насосов и компр,86
"ГАЛЛОП, ООО",www.gallop.ru,"+7 (383) 2899005
+7 (383) 3172943
+7 (383) 3173625
+7 (383) 3174654
+7 (383) 3472943
+7 (383) 3551000","gallop@online.nsk.su, op@gallop.ru, td@gallop.ru, vab@gallop.ru",Захаров Виталий Владимирович,Новосибирская область,Производство арматуры трубопроводно,83
"ЧЭМЗ, АО",www.chemz.ru,"+7 (83540) 20189
+7 (8352) 236950
+7 (8352) 420148
+7 (8352) 630900
+7 (83540) 20148
+7 (83540) 20156
+7 (83540) 20158
+7 (83540) 20159
+7 (83540) 20162
+7 (83540) 20168
+7 (83540) 20169
+7 (83540) 29535
+7 (83540) 29662
+7 (83540) 29663",zavod@chemz.ru,Авдонина Ирина Юрьевна,Чувашская Республика-Чувашия,Производство электрической распреде,81
"НПП БРЕСЛЕР, ООО",bresler.ru,"+7 (903) 3221000
+7 (8352) 220201
+7 (8352) 367333
+7 (8352) 459191","info@bresler.ru, support@bresler.ru",Ефимов Максим Николаевич,Чувашская Республика-Чувашия,Производство электрической распреде,80
"КЗ, ПАО",www.kkz.ru,"+7 (494) 2321354
+7 (494) 2322003
+7 (494) 2325548
+7 (494) 2327063
+7 (494) 2345548
+7 (494) 2360999
+7 (494) 2427768
+7 (494) 2544472
+7 (494) 2548036","325548@bk.ru, 327011@mail.ru, 360999@mail.ru, 428071@mail.ru, market@kkz.ru, metall.kkz@mail.ru, rvl75@mail.ru, tokpak@rambler.ru",Журавлев Юрий Витальевич,Костромская область,Производство теплообменных устройст,71
"НЕФТЕГАЗДЕТАЛЬ, ООО НПК",hutorok-vrn.ru,,,Клименченков Алексей Александрович,Воронежская область,Производство арматуры трубопроводно,62
"ТЕХКОМПЛЕКТ, ООО",texkom07.com,"+7 (8452) 701015
+7 (937) 8085070
+7 (927) 1534529
+7 (8452) 688911",buh@texkom07.com,Ситяков Ренат Иванович,Саратовская область,Производство арматуры трубопроводно,55
"ПП ШЭЛА, ООО",www.shela71.ru,"+7 (920) 7557556
+7 (48754) 53678
+7 (48754) 63678
+7 (48754) 65901","shela@shela71.ru, vladkir@shela71.ru",Истомин Анатолий Михайлович,Тульская область,Производство электрической распреде,54
"ЭЛЕКТРОКОНТАКТ, ООО",elkontakt.ru,"+7 (8362) 383335
+7 (8362) 451770
+7 (8362) 453422
+7 (8362) 461422
+7 (8362) 742101",,Каменщиков Павел Владимирович,Марий Эл (Республика),Производство электрической распреде,53
"МЕХМАШ, ООО ПП",ooomm.ru,"+7 (487) 2250434
+7 (487) 2251196
+7 (487) 2251753",info@ooomm.ru,Швыков Александр Владимирович,Тульская область,Производство арматуры трубопроводно,53
"ЗНИГО, ООО",znigo.ru,"+7 (47354) 61433
+7 (47354) 66116
+7 (47354) 66326
+7 (47354) 67874
+7 (47354) 68172
+7 (47354) 68758
+7 (47376) 41433
+7 (84732) 66326",glavbuh@znigo.ru,Филатов Андрей Анатольевич,Воронежская область,Производство теплообменных устройст,47
"НПЦ ИНФОТРАНС, АО",www.infotrans-logistic.ru,"+7 (846) 3375470
+7 (84633) 75126
+7 (84633) 75218
+7 (84633) 75473","infotrans63@gmail.com, lawer@infotrans-logistic.ru, office@infotrans-logistic.ru",Михалкин Игорь Константинович,Самарская область,"Производство прочих приборов, датчи",45
"ВЭЛТА, ООО ПО",po-velta.ru,"+7 (381) 2295205
+7 (381) 2295138
+7 (381) 2295543
+7 (381) 2295555","info@po-velta.ru, npo_velta@mail.ru, velta_buh@mail.ru",Геращенко Андрей Борисович,Омская область,Производство электрической распреде,38
"ОЗЭУ, ООО",ozeu.ru,"+7 (922) 0164118
+7 (35130) 43379
+7 (35130) 43616
+7 (35130) 43627
+7 (35130) 43641
+7 (35130) 43718
+7 (35130) 72808
+7 (35130) 73363
+7 (35130) 73728
+7 (35131) 73363","mail@ozeu.ru, sales@ozeu.ru, sekretary@ozeu.ru",Левин Артемий Дмитриевич,Челябинская область,Производство электрической распреде,37
"ЭЛЕКТРОПРИБОР, ОАО",elpribor.ru,"+7 (8352) 399971
+7 (8352) 399988
+7 (8352) 205002
+7 (8352) 399914
+7 (8352) 399917
+7 (8352) 399918
+7 (8352) 399942
+7 (8352) 399983
+7 (8352) 561625
+7 (8352) 563561","kim@elpribor.ru, marketing@elpribor.ru, rosa@chtts.ru",Слесарев Валерий Евгеньевич,Чувашская Республика-Чувашия,Производство инструментов и приборо,34
"ГАЗАППАРАТ, АО",https://gazapparat.ru,"+7 (8452) 393131
+7 (413) 2222600
+7 (812) 5679886
+7 (8452) 444111
+7 (8452) 502496
+7 (8452) 507942
+7 (8452) 517626
+7 (8452) 517633
+7 (8452) 517639","gazapparat2@renet.ru, poliakw@mail.ru",Филиппов Владислав Андреевич,Саратовская область,Производство арматуры трубопроводно,32
"МЗТА, ООО",www.mztpa.ru,"+7 (49234) 20835
+7 (49234) 21303
+7 (49234) 22091
+7 (49234) 31452
+7 (49234) 33377
+7 (49234) 36161","belova@mzta.mit.ru, frolova@mzta.mit.ru, mzta@mit.ru, sales@mztpa.ru",Дригуля Игорь Владимирович,Владимирская область,Производство арматуры трубопроводно,32
"ФАЗА, ООО",smining.ru,"+7 (923) 6340626
+7 (3843) 391374
+7 (3843) 720274
+7 (3843) 740274
+7 (3843) 740790
+7 (3843) 747090
+7 (923) 6388271",info@smining.ru,Овчинников Александр Анатольевич,Новосибирская область,Производство электрической распреде,24
"ГЕРС ТЕХНОЛОДЖИ, ООО",gerstech.ru,"+7 (482) 2620908
+7 (482) 2620909
+7 (916) 5897805",mail@gerstech.ru,Сергеев Олег Николаевич,Тверская область,"Производство навигационных, метеоро",20
"НПФ МОССАР, ООО",npf-mossar.ru,"+7 (845) 2632044
+7 (8452) 772787
+7 (84567) 51459
+7 (84567) 51487
+7 (84567) 51833
+7 (84567) 51885
+7 (84567) 51904
+7 (84567) 51906
+7 (84567) 51968
+7 (84567) 55439
+7 (84567) 55443
+7 (937) 2253523",,Рассветов Сергей Андреевич,Саратовская область,"Производство прочих приборов, датчи",15
"ТОРГОВЫЙ ДОМ ВОТКИНСКИЙ ЗАВОД, ОАО",www.topol.ru,"+7 (34145) 29818
+7 (34145) 50823
+7 (34145) 51328
+7 (34145) 51622
+7 (34145) 52290
+7 (34145) 52387
+7 (34145) 52631
+7 (34145) 52718
+7 (34145) 65215
+7 (34145) 65551
+7 (34145) 65552
+7 (34145) 65571
+7 (34145) 65592
+7 (34145) 65598","agafonov.va@topol.ru, gorlanov.va@topol.ru, rogozin.nl@topol.ru, tdvz@topol.ru, tdvz@topol.udm.net, tpa@topol.ru, vasilev.an@topol.ru",Бобылев Игорь Владимирович,Удмуртская Республика,Производство прочих насосов и компр,15
"АРКТОС, ООО",arktos.ru,"+7 (812) 3247008
+7 (812) 3249850
+7 (812) 3295368
+7 (812) 4413530",smelova@arktos.ru,Звездин Андрей Сергеевич,Санкт-Петербург,Производство промышленного холодиль,14
"ЭТНА ПЛЮС, ООО НПФ",etna.su,"+7 (937) 2487129
+7 (8452) 351878
+7 (8452) 451737
+7 (8452) 451738
+7 (8452) 550257
+7 (8452) 553520
+7 (8452) 554105
+7 (8452) 554601
+7 (8452) 663789
+7 (8452) 937272
+7 (927) 2228409
+7 (927) 2260232",info@etna.su,Явчуновский Виктор Яковлевич,Саратовская область,Производство вентиляторов,5
"ПК ТТ, АО",pktt.ru,"+7 (35130) 40772
+7 (35130) 45115
+7 (35130) 45144
+7 (495) 9526908",info@pktt.ru,Путинцева Евгения Сергеевна,Свердловская область,Производство теплообменных устройст,3
"ТЕПЛОХИМ, АО",teplohimvrn.ru,"+7 (47354) 51160
+7 (47354) 51161
+7 (47354) 51162
+7 (47354) 51163
+7 (47354) 51164
+7 (47354) 64933
+7 (47354) 64987",info@teplohim.com,Коломиец Владимир Вячеславович,Воронежская область,Производство теплообменных устройст,2
