name,site,phone,email,director,region,industry,profit_mln,опросник,контакт,заметка
"ЧЭМЗ, АО",www.chemz.ru,"+7 (83540) 20189
+7 (8352) 236950
+7 (8352) 420148
+7 (8352) 630900
+7 (83540) 20148
+7 (83540) 20156
+7 (83540) 20158
+7 (83540) 20159
+7 (83540) 20162
+7 (83540) 20168
+7 (83540) 20169
+7 (83540) 29535
+7 (83540) 29662
+7 (83540) 29663",zavod@chemz.ru,Авдонина Ирина Юрьевна,Чувашская Республика-Чувашия,Производство электрической распреде,81,?,реестр: zavod@chemz.ru,не проверял
"НПП БРЕСЛЕР, ООО",bresler.ru,"+7 (903) 3221000
+7 (8352) 220201
+7 (8352) 367333
+7 (8352) 459191","info@bresler.ru, support@bresler.ru",Ефимов Максим Николаевич,Чувашская Республика-Чувашия,Производство электрической распреде,80,?,"реестр: info@bresler.ru, support@bresler.ru",не проверял
"НЕФТЕГАЗДЕТАЛЬ, ООО НПК",hutorok-vrn.ru,,,Клименченков Алексей Александрович,Воронежская область,Производство арматуры трубопроводно,62,?,реестр: —,не проверял
"ТЕХКОМПЛЕКТ, ООО",texkom07.com,"+7 (8452) 701015
+7 (937) 8085070
+7 (927) 1534529
+7 (8452) 688911",buh@texkom07.com,Ситяков Ренат Иванович,Саратовская область,Производство арматуры трубопроводно,55,?,реестр: buh@texkom07.com,не проверял
"ПП ШЭЛА, ООО",www.shela71.ru,"+7 (920) 7557556
+7 (48754) 53678
+7 (48754) 63678
+7 (48754) 65901","shela@shela71.ru, vladkir@shela71.ru",Истомин Анатолий Михайлович,Тульская область,Производство электрической распреде,54,?,"реестр: shela@shela71.ru, vladkir@shela71.ru",не проверял
"ЭЛЕКТРОКОНТАКТ, ООО",elkontakt.ru,"+7 (8362) 383335
+7 (8362) 451770
+7 (8362) 453422
+7 (8362) 461422
+7 (8362) 742101",,Каменщиков Павел Владимирович,Марий Эл (Республика),Производство электрической распреде,53,?,"реестр: +7 (8362) 383335
+7 (8362) 451770
+7 (8362) 453422
+7 (8362) 461422
+7 (8362) 742101",не проверял
"МЕХМАШ, ООО ПП",ooomm.ru,"+7 (487) 2250434
+7 (487) 2251196
+7 (487) 2251753",info@ooomm.ru,Швыков Александр Владимирович,Тульская область,Производство арматуры трубопроводно,53,?,реестр: info@ooomm.ru,не проверял
"НПЦ ИНФОТРАНС, АО",www.infotrans-logistic.ru,"+7 (846) 3375470
+7 (84633) 75126
+7 (84633) 75218
+7 (84633) 75473","infotrans63@gmail.com, lawer@infotrans-logistic.ru, office@infotrans-logistic.ru",Михалкин Игорь Константинович,Самарская область,"Производство прочих приборов, датчи",45,?,"реестр: infotrans63@gmail.com, lawer@infotrans-logistic.ru, office@infotrans-logistic.ru",не проверял
"ВЭЛТА, ООО ПО",po-velta.ru,"+7 (381) 2295205
+7 (381) 2295138
+7 (381) 2295543
+7 (381) 2295555","info@po-velta.ru, npo_velta@mail.ru, velta_buh@mail.ru",Геращенко Андрей Борисович,Омская область,Производство электрической распреде,38,?,"реестр: info@po-velta.ru, npo_velta@mail.ru, velta_buh@mail.ru",не проверял
"ОЗЭУ, ООО",ozeu.ru,"+7 (922) 0164118
+7 (35130) 43379
+7 (35130) 43616
+7 (35130) 43627
+7 (35130) 43641
+7 (35130) 43718
+7 (35130) 72808
+7 (35130) 73363
+7 (35130) 73728
+7 (35131) 73363","mail@ozeu.ru, sales@ozeu.ru, sekretary@ozeu.ru",Левин Артемий Дмитриевич,Челябинская область,Производство электрической распреде,37,?,"реестр: mail@ozeu.ru, sales@ozeu.ru, sekretary@ozeu.ru",не проверял
"ЭЛЕКТРОПРИБОР, ОАО",elpribor.ru,"+7 (8352) 399971
+7 (8352) 399988
+7 (8352) 205002
+7 (8352) 399914
+7 (8352) 399917
+7 (8352) 399918
+7 (8352) 399942
+7 (8352) 399983
+7 (8352) 561625
+7 (8352) 563561","kim@elpribor.ru, marketing@elpribor.ru, rosa@chtts.ru",Слесарев Валерий Евгеньевич,Чувашская Республика-Чувашия,Производство инструментов и приборо,34,?,"реестр: kim@elpribor.ru, marketing@elpribor.ru, rosa@chtts.ru",не проверял
"ФАЗА, ООО",smining.ru,"+7 (923) 6340626
+7 (3843) 391374
+7 (3843) 720274
+7 (3843) 740274
+7 (3843) 740790
+7 (3843) 747090
+7 (923) 6388271",info@smining.ru,Овчинников Александр Анатольевич,Новосибирская область,Производство электрической распреде,24,?,реестр: info@smining.ru,не проверял
"ГЕРС ТЕХНОЛОДЖИ, ООО",gerstech.ru,"+7 (482) 2620908
+7 (482) 2620909
+7 (916) 5897805",mail@gerstech.ru,Сергеев Олег Николаевич,Тверская область,"Производство навигационных, метеоро",20,?,реестр: mail@gerstech.ru,не проверял
"НПФ МОССАР, ООО",npf-mossar.ru,"+7 (845) 2632044
+7 (8452) 772787
+7 (84567) 51459
+7 (84567) 51487
+7 (84567) 51833
+7 (84567) 51885
+7 (84567) 51904
+7 (84567) 51906
+7 (84567) 51968
+7 (84567) 55439
+7 (84567) 55443
+7 (937) 2253523",,Рассветов Сергей Андреевич,Саратовская область,"Производство прочих приборов, датчи",15,?,"реестр: +7 (845) 2632044
+7 (8452) 772787
+7 (84567) 51459
+7 (84567) 51487
+7 (84567) 51833
+7 (84567) 51885
+7 (84567) 51904
+7 (84567) 51906
+7 (84567) 51968
+7 (84567) 55439
+7 (84567) 55443
+7 (937) 2253523",не проверял
"ТОРГОВЫЙ ДОМ ВОТКИНСКИЙ ЗАВОД, ОАО",www.topol.ru,"+7 (34145) 29818
+7 (34145) 50823
+7 (34145) 51328
+7 (34145) 51622
+7 (34145) 52290
+7 (34145) 52387
+7 (34145) 52631
+7 (34145) 52718
+7 (34145) 65215
+7 (34145) 65551
+7 (34145) 65552
+7 (34145) 65571
+7 (34145) 65592
+7 (34145) 65598","agafonov.va@topol.ru, gorlanov.va@topol.ru, rogozin.nl@topol.ru, tdvz@topol.ru, tdvz@topol.udm.net, tpa@topol.ru, vasilev.an@topol.ru",Бобылев Игорь Владимирович,Удмуртская Республика,Производство прочих насосов и компр,15,?,"реестр: agafonov.va@topol.ru, gorlanov.va@topol.ru, rogozin.nl@topol.ru, tdvz@topol.ru, tdvz@topol.udm.net, tpa@topol.ru, vasilev.an@topol.ru",не проверял
"ЭТНА ПЛЮС, ООО НПФ",etna.su,"+7 (937) 2487129
+7 (8452) 351878
+7 (8452) 451737
+7 (8452) 451738
+7 (8452) 550257
+7 (8452) 553520
+7 (8452) 554105
+7 (8452) 554601
+7 (8452) 663789
+7 (8452) 937272
+7 (927) 2228409
+7 (927) 2260232",info@etna.su,Явчуновский Виктор Яковлевич,Саратовская область,Производство вентиляторов,5,?,реестр: info@etna.su,не проверял
"ТЕПЛОХИМ, АО",teplohimvrn.ru,"+7 (47354) 51160
+7 (47354) 51161
+7 (47354) 51162
+7 (47354) 51163
+7 (47354) 51164
+7 (47354) 64933
+7 (47354) 64987",info@teplohim.com,Коломиец Владимир Вячеславович,Воронежская область,Производство теплообменных устройст,2,?,реестр: info@teplohim.com,не проверял
"КМЗ, АО",www.kmz-ural.com,"+7 (3432) 785282
+7 (922) 1516677
+7 (343) 2280314
+7 (343) 2280315
+7 (3432) 280317
+7 (3432) 689857
+7 (34363) 57099
+7 (34363) 57100",glavbuh@kmz-ural.com,Кащеев Максим Петрович,Свердловская область,Производство вентиляторов,448,нет (подбор/расчёт есть),zavod@kmz-ural.com,тягодутьевое оборуд.
"ЗЭТА, АО",nzeta.ru,"+7 (495) 6662338
+7 (800) 7773421","info@nzeta.ru, info@nzeta.zkabel.ru, nzeta@nzeta.ru",Рязанов Андрей Анатольевич,Новосибирская область,Производство электрической распреде,306,нет (каталог цена/наличие),"info@nzeta.ru, 8-800",кабельная арматура
"ЛМЗ, ОАО",www.semlmz.ru,"+7 (83162) 41090
+7 (83162) 51090
+7 (83162) 51173
+7 (83162) 52068
+7 (83162) 52191
+7 (83162) 52321
+7 (83162) 53670
+7 (83162) 57090
+7 (83162) 57390
+7 (83162) 57499
+7 (905) 1910035
+7 (950) 6268818","semlmz@rambler.ru, slmz_kamaeva.n@mail.ru, www.zavodlmz.narod.ru/",Седунов Валерий Константинович,Нижегородская область,Производство арматуры трубопроводно,299,нет (старый сайт),marketlmz@mail.ru,ЛМЗ Семёнов
"МИКРОПРОЦЕССОРНЫЕ ТЕХНОЛОГИИ, ООО НПП",http://www.i-mt.net,"+7 (921) 8800684
+7 (913) 9064222",poletaevatn@i-mt.net,Пирогов Михаил Геннадьевич,Новосибирская область,Производство электрической распреде,270,нет на главной,тел 8-800-555-25-11,цифр. устр. для энергетики
"ЧЗЭО, ООО",www.chelzeo.ru,"+7 (3432) 930045
+7 (3432) 930046
+7 (345) 2500260
+7 (3512) 399031
+7 (3512) 461518
+7 (3512) 461519
+7 (3512) 476594
+7 (3512) 777467
+7 (3517) 773464
+7 (800) 3013727
+7 (812) 5785095
+7 (8432) 385987
+7 (8432) 470020
+7 (861) 2752939
+7 (861) 9442542",tender@chelzeo.ru,Камынин Алексей Игоревич,Москва,Производство электрической распреде,225,нет на главной (КТП — по опроснику на товарах),"sales.19332@chelzeo.ru, 8-800",щиты/подстанции
"НТЭС, ООО НПО",nponts.ru,"+7 (85594) 43420
+7 (855) 1443501
+7 (855) 1493501
+7 (855) 9493501
+7 (85594) 63700
+7 (85594) 63701
+7 (85594) 63719
+7 (85594) 63727
+7 (85594) 99129",,Ушков Петр Владимирович,Республика Татарстан,"Производство прочих приборов, датчи",210,нет,nponts@nponts.ru,НТЭС
"АРМАТУРНЫЙ ЗАВОД, ООО",arm-z.ru,+7 (3472) 929888,armz@arm-z.ru,Ибрагимов Ренат Фаукатович,Башкортостан (Республика),Производство арматуры трубопроводно,168,нет на главной,—,клапаны предохр.
"ЛЮМЭКС-МАРКЕТИНГ, ООО",www.lumex.ru,"+7 (499) 9763193
+7 (812) 3360336
+7 (812) 3550336","bochkarevavi@lumex.ru, polischukev@lumex.ru, tselishevann@lumex.ru",Климова Ирина Олеговна,Санкт-Петербург,Производство приборов для контроля ,140,нет,lumex@lumex.ru,лаб. приборы
"ТЕМПЕР, ООО",www.temper.ru,"+7 (812) 4380545
+7 (932) 3128888
+7 (3522) 222999
+7 (3522) 228888
+7 (912) 0641514
+7 (932) 3176262","dso@temper.ru, tender@temper.ru",Доронин Сергей Олегович,Курганская область,Производство арматуры трубопроводно,110,нет (краны — каталог),temper@temper.ru,шаровые краны
"МЗТА, ООО",www.mztpa.ru,"+7 (49234) 20835
+7 (49234) 21303
+7 (49234) 22091
+7 (49234) 31452
+7 (49234) 33377
+7 (49234) 36161","belova@mzta.mit.ru, frolova@mzta.mit.ru, mzta@mit.ru, sales@mztpa.ru",Дригуля Игорь Владимирович,Владимирская область,Производство арматуры трубопроводно,32,нет на главной,sales@mztpa.ru,"Муром, арматура"
"ПК ТТ, АО",pktt.ru,"+7 (35130) 40772
+7 (35130) 45115
+7 (35130) 45144
+7 (495) 9526908",info@pktt.ru,Путинцева Евгения Сергеевна,Свердловская область,Производство теплообменных устройст,3,"нет (EPC/инжиниринг, подбор)",info@pktt.ru,теплообменники
"ЗАВОД СЕВЕР, ООО",veza-ural.ru,"+7 (3422) 350276
+7 (3422) 350377
+7 (343) 3762735
+7 (343) 3762745
+7 (343) 3762859
+7 (345) 2250295
+7 (345) 2546920
+7 (345) 2546921
+7 (3512) 475272
+7 (3512) 475273
+7 (916) 1951554",info@z-sever.ru,Юров Игорь Юрьевич,Москва,Производство вентиляторов,419,—,реестр: info@z-sever.ru,сайт недоступен
"РИМ, АО",zao-rim.ru,"+7 (383) 2034109
+7 (383) 2195313
+7 (383) 2267752
+7 (383) 2268313
+7 (383) 2351562
+7 (383) 2362481
+7 (383) 2363703
+7 (383) 2364409","info@atev.kz, info@zao-rim.ru, ivanova@zao-rim.ru, office@rimtd.com, rim@zao-rim.ru, service@zao-rim.ru, support@zao-rim.ru",Букреев Евгений Валерьевич,Новосибирская область,"Производство прочих приборов, датчи",366,—,"реестр: info@atev.kz, info@zao-rim.ru, ivanova@zao-rim.ru, office@rimtd.com, rim@zao-rim.ru, service@zao-rim.ru, support@zao-rim.ru",сайт недоступен
"ИК ЭНЕРПРЕД-ЯРДОС, ООО",www.yardos.ru,"+7 (495) 6498611
+7 (499) 9729218
+7 (495) 2282493
+7 (495) 6393426
+7 (495) 7424491
+7 (495) 9692493",,Шаманский Владимир Семенович,Московская область,Производство арматуры трубопроводно,330,—,"реестр: +7 (495) 6498611
+7 (499) 9729218
+7 (495) 2282493
+7 (495) 6393426
+7 (495) 7424491
+7 (495) 9692493",сайт недоступен
"АЛСО, ООО",alsoarm.ru,"+7 (3512) 100210
+7 (3517) 715511",,Рысенко Денис Игоревич,Челябинская область,Производство арматуры трубопроводно,312,—,"реестр: +7 (3512) 100210
+7 (3517) 715511",сайт недоступен
"ЦМЗ, ООО",tsmz.ru,"+7 (86391) 21997
+7 (86391) 50920
+7 (495) 2312848
+7 (8632) 855387
+7 (8632) 855392
+7 (8632) 855402",tsmz@tsmz.ru,Балабанов Михаил Вячеславович,Ростовская область,Производство арматуры трубопроводно,138,—,реестр: tsmz@tsmz.ru,сайт недоступен
"КЗ, ПАО",www.kkz.ru,"+7 (494) 2321354
+7 (494) 2322003
+7 (494) 2325548
+7 (494) 2327063
+7 (494) 2345548
+7 (494) 2360999
+7 (494) 2427768
+7 (494) 2544472
+7 (494) 2548036","325548@bk.ru, 327011@mail.ru, 360999@mail.ru, 428071@mail.ru, market@kkz.ru, metall.kkz@mail.ru, rvl75@mail.ru, tokpak@rambler.ru",Журавлев Юрий Витальевич,Костромская область,Производство теплообменных устройст,71,—,"реестр: 325548@bk.ru, 327011@mail.ru, 360999@mail.ru, 428071@mail.ru, market@kkz.ru, metall.kkz@mail.ru, rvl75@mail.ru, tokpak@rambler.ru",сайт недоступен
"АРКТОС, ООО",arktos.ru,"+7 (812) 3247008
+7 (812) 3249850
+7 (812) 3295368
+7 (812) 4413530",smelova@arktos.ru,Звездин Андрей Сергеевич,Санкт-Петербург,Производство промышленного холодиль,14,—,реестр: smelova@arktos.ru,сайт недоступен
